SHS_1,SHS_2,SHS_3,SHS_4R,STRESS_1,STRESS_2R,STRESS_3R,STRESS_4,PURPOSE_1,PURPOSE_2,PURPOSE_3,PURPOSE_4,PURPOSE_5,PURPOSE_6,PURPOSE_7,PURPOSE_8,LONELY_1R,LONELY_2,LONELY_3R,LONELY_4,Peer_Nomination,Peer_Happy/Cheerful,Peer_Irritable/Agitated,Peer_Content/Satisfied,Peer_Optimistic/Hopeful,Peer_Dissatisfied/Complaining,Peer_Compassionate/Nurturing,Peer_Kind/Friendly,Peer_Sad/Somber,Peer_Hostile/Argumentative,Peer_Calm/Relaxed,Peer_Distracted/Absent-minded,Peer_Cooperative/Harmonious,Peer_Anxious/Stressed,Peer_Self-critical/Hopeless,Peer_Forgiving/Generous,Peer_Grateful/Appreciative,Peer_Quality,Weeks_Completed,Why_Not_Complete,Why_Not_Complete_TEXT,Weekly_Hours,Weekly_Hours_TEXT,Applied_to_life,Applied_to_life_TEXT,Impact_Happiness,Impact_Relationships,Impact_Work,Impact_Compassion,Impact_Altruism,Impact_Academic,Impact_TEXT,Rate_EMST,Rate_DK,Rate_Guests,Rate_Readings,Rate_Discussions,Rate_Problem_Sets,Rate_Exams,Rate_Check_ins,Rate_Happiness_Practices,Rate_LIVE_Q/A,Forums_Participate,Forums_Community_TA,Forums_Community_TA_TEXT,Forums_NO_TEXT,Value_Week1,Value_Week2,Value_Week3,Value_Week4,Value_Week6,Value_Week7,Value_Week8,Value_Week9,Value_TEXT,Frequency_3_Good_Things,Frequency_Active_Listening,Frequency_Random_Kindness,Frequency_Forgiveness,Frequency_Mindful_Breathing,Frequency_Body_Scan,Frequency_Meditation,Frequency_Self_Compassion_Letter,Frequency_Ideal_Self,Frequency_Gratitude_Journal,Frequency_Gratitude_Letter,Frequency_Awe_Walk,Happiness_3_Good_Things,Happiness_Active_Listening,Happiness_Random_Kindness,Happiness_Forgiveness,Happiness_Mindful_Breathing,Happiness_Body_Scan,Happiness_Meditation,Happiness_Self_Compassion_Letter,Happiness_Ideal_Self,Happiness_Gratitude_Journal,Happiness_Gratitude_Letter,Happiness_Awe_Walk,Happiness_Team_Participate,Happiness_Team_Name,Team_Meeting_Frequency,Team_Meeting_Location,Team_Discussion_Qs,Team_Course_Material,Team_Happiness_Practices,Team_Happiness_Cinema,Team_Group_Project,Team_TEXT,Team_Satisfaction,Team_Suggestions_TEXT,Course_Expectation,Course_Satisfaction,Course_Like_Most_TEXT,Course_Recommend,GGSC_Visit,edx_Changes_TEXT,Course_Changes_TEXT
,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,"Week 3: Kindness & Compassion,Week 9: Finding Your Happiness Fit & New Frontiers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(6),(5),(5),(2),Sometimes,Fairly Often,Fairly Often,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Sometimes,Sometimes,Often,Rarely,No or don't remember,,,,,,,,,,,,,,,,,,"Week 7: Mental Habits of Happiness,Week 8: Gratitude,Week 3: Kindness & Compassion,Week 6: Mindfulness,Week 9: Finding Your Happiness Fit & New Frontiers,Week 1: Introduction to the Science of Happiness,Week 2: The Power of Social Connection,Week 4: Cooperation & Reconciliation",,,4 hours,,A Lot,,Very much,Very much,Very much,Very much,Moderately,,,Terrific,Terrific,Good,Good,,Good,Good,Good,Good,,No,,,,Very,Very,Very,Very,Extremely,Extremely,Very,Extremely,,4-5 times,3-4 times,0 times,1-2 times,9-10 times,3-4 times,1-2 times,0 times,0 times,0 times,0 times,0 times,5,5,N/A (I didn't do it),5,7- Extremely,5,6,N/A (I didn't do it),N/A (I didn't do it),N/A (I didn't do it),N/A (I didn't do it),N/A (I didn't do it),No,,,,,,,,,,,,Completely,Extremely,,Yes,Yes,,
(3),(3),(3),(5),Fairly Often,Sometimes,Sometimes,Sometimes,Mixed/ Neither,Slightly Agree,Mixed/ Neither,Slightly Agree,Slightly Agree,Slightly Agree,Mixed/ Neither,Disagree,Sometimes,Rarely,Sometimes,Rarely,No or don't remember,,,,,,,,,,,,,,,,,,"Week 7: Mental Habits of Happiness,Week 8: Gratitude,Week 3: Kindness & Compassion,Week 6: Mindfulness,Week 9: Finding Your Happiness Fit & New Frontiers,Week 1: Introduction to the Science of Happiness,Week 2: The Power of Social Connection,Week 4: Cooperation & Reconciliation",,,2 hours,,A Lot,,Moderately,Moderately,Not at all,Moderately,Moderately,,,Terrific,Terrific,Good,Good,Satisfactory,Good,Good,Satisfactory,Terrific,Satisfactory,No,,,,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Extremely,Very,,7-8 times,7-8 times,5-6 times,3-4 times,9-10 times,5-6 times,3-4 times,1-2 times,1-2 times,0 times,0 times,0 times,7- Extremely,7- Extremely,7- Extremely,4,6,4,1-Not at all,5,3,N/A (I didn't do it),N/A (I didn't do it),N/A (I didn't do it),No,,,,,,,,,,,,Completely,Extremely,,Yes,Yes,,
(4),(4),(4),(2),Almost Never,Fairly Often,Fairly Often,Never,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Sometimes,Rarely,Sometimes,Rarely,No or don't remember,,,,,,,,,,,,,,,,,,"Week 7: Mental Habits of Happiness,Week 8: Gratitude,Week 3: Kindness & Compassion,Week 6: Mindfulness,Week 9: Finding Your Happiness Fit & New Frontiers,Week 1: Introduction to the Science of Happiness,Week 2: The Power of Social Connection,Week 4: Cooperation & Reconciliation",,,More than 7 hours (please specify),10,Extensively,,Immensely,Immensely,Immensely,Immensely,Immensely,Slightly,,Terrific,Terrific,Good,Terrific,Terrific,Terrific,Terrific,Good,Satisfactory,Terrific,Yes,Yes,,,Extremely,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Extremely,,1-2 times,1-2 times,1-2 times,1-2 times,1-2 times,0 times,0 times,0 times,0 times,1-2 times,1-2 times,1-2 times,4,4,5,5,4,N/A (I didn't do it),N/A (I didn't do it),N/A (I didn't do it),N/A (I didn't do it),6,6,6,No,,,,,,,,,,,,Completely,Extremely,"Being a computer scientist, my mind and thinking habits are heavily influenced by the scientific method. There is so much garbage out there about happiness, extremely misleading by mixing a bit of science with a lot of untested theories and dogmatic ""new age"" stuff. This course has been such a joy to follow because it is solely based on science and also follows a scientific approach in the presentation of the material. Although I don't see a way of advancing my career with the certificate, I did decide to upgrade to the verified track as I feel that this course is worth every last cent. Hopefully, my contribution will help keep the course (and educational platform) free and available to as many people as possible in the future. Well Done for the course and Thank you for an Excellent educational experience!",Yes,Yes,,"I felt that the section “Self directed Neuroplasticity” that contains an essay titled “How to Trick Your Brain for Happiness” by Rick Hanson in week 7 should precede all of the mindfulness material (Week 6), as in my opinion, it sets a clear scientific basis on why mindfulness works."
(5),(5),(4),(2),Sometimes,Fairly Often,Fairly Often,Sometimes,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Agree,Slightly Agree,Mixed/ Neither,Sometimes,Rarely,Sometimes,Sometimes,No or don't remember,,,,,,,,,,,,,,,,,,"Week 7: Mental Habits of Happiness,Week 8: Gratitude,Week 3: Kindness & Compassion,Week 6: Mindfulness,Week 9: Finding Your Happiness Fit & New Frontiers,Week 1: Introduction to the Science of Happiness,Week 2: The Power of Social Connection,Week 4: Cooperation & Reconciliation",,,4 hours,,Moderately,,Moderately,Slightly,Moderately,Moderately,Slightly,Moderately,,Good,Good,Good,Good,Satisfactory,Good,Good,Good,Terrific,,Yes,No,,,Moderately,Very,Very,Moderately,Very,Very,Very,Very,,5-6 times,1-2 times,5-6 times,1-2 times,7-8 times,5-6 times,6-7 times,1-2 times,1-2 times,5-6 times,1-2 times,3-4 times,3,1-Not at all,4,2,4,2,4,2,1-Not at all,5,1-Not at all,5,No,,,,,,,,,,,,Mostly,Very,,Yes,Yes,,
(5),(5),(5),(3),Sometimes,Fairly Often,Sometimes,Sometimes,Mixed/ Neither,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Sometimes,Sometimes,Sometimes,Sometimes,Yes,4 - Very,2 - Slightly,3 - Moderately,4 - Very,2 - Slightly,5 - Extremely,4 - Very,2 - Slightly,1 - Not at all,3 - Moderately,2 - Slightly,4 - Very,2 - Slightly,2 - Slightly,5 - Extremely,4 - Very,4 - Good,"Week 7: Mental Habits of Happiness,Week 8: Gratitude,Week 3: Kindness & Compassion,Week 6: Mindfulness,Week 9: Finding Your Happiness Fit & New Frontiers,Week 1: Introduction to the Science of Happiness,Week 2: The Power of Social Connection,Week 4: Cooperation & Reconciliation",,,5 hours,,Moderately,,,Moderately,Moderately,Very much,Very much,Moderately,,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Yes,Yes,,,Very,Very,Very,Very,Very,,Very,Very,It was good to practice as part of day to day activities.,1-2 times,4-5 times,3-4 times,1-2 times,5-6 times,1-2 times,5-6 times,1-2 times,1-2 times,1-2 times,1-2 times,1-2 times,3,3,4,4,4,2,4,3,2,2,2,2,No,,,,,,,,,,,,Mostly,Very,Its application in day to day life.,Yes,Yes,,
(6),(6),(5),Not at all (1),Almost Never,Very Often,Very Often,Never,Agree,Strongly Agree,Agree,Slightly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Often,Rarely,Often,Rarely,Yes,2 - Slightly,1 - Not at all,3 - Moderately,3 - Moderately,1 - Not at all,2 - Slightly,4 - Very,1 - Not at all,1 - Not at all,4 - Very,1 - Not at all,4 - Very,1 - Not at all,1 - Not at all,3 - Moderately,4 - Very,4 - Good,"Week 7: Mental Habits of Happiness,Week 8: Gratitude,Week 3: Kindness & Compassion,Week 6: Mindfulness,Week 9: Finding Your Happiness Fit & New Frontiers,Week 1: Introduction to the Science of Happiness,Week 2: The Power of Social Connection,Week 4: Cooperation & Reconciliation",,,5 hours,,A Lot,"Making all the quizzies and exercises, and making regular some of the activities such as teh awe walk, meditation/mindfulness, letters of gratitude and Gratitude journal, etc.",Very much,Very much,Moderately,Very much,Moderately,Moderately,,Good,Good,Good,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Terrific,Satisfactory,Yes,Yes,,,Very,Very,Very,Very,Very,Extremely,Extremely,Very,,3-4 times,1-2 times,0 times,1-2 times,More than 10 times,1-2 times,0 times,1-2 times,1-2 times,3-4 times,1-2 times,1-2 times,5,4,N/A (I didn't do it),5,5,1-Not at all,N/A (I didn't do it),6,4,6,7- Extremely,5,No,,,,,,,,,,,,Mostly,Very,"The approach to the subject: the structure and contents' organization to end up in building a consistent body of knowledge around the science of happiness and all their relative matetrs, based on theory, research and studies along the time and humen geography.",Yes,Yes,,
(5),(5),(5),(3),Almost Never,Very Often,Fairly Often,Never,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Often,Rarely,Often,Never,Yes,4 - Very,2 - Slightly,4 - Very,4 - Very,2 - Slightly,4 - Very,5 - Extremely,2 - Slightly,1 - Not at all,3 - Moderately,2 - Slightly,4 - Very,1 - Not at all,1 - Not at all,4 - Very,5 - Extremely,7 - Exceptional,"Week 7: Mental Habits of Happiness,Week 8: Gratitude,Week 3: Kindness & Compassion,Week 6: Mindfulness,Week 9: Finding Your Happiness Fit & New Frontiers,Week 1: Introduction to the Science of Happiness,Week 2: The Power of Social Connection,Week 4: Cooperation & Reconciliation",,,6 hours,,A Lot,,Very much,Very much,,Moderately,Moderately,,,Terrific,Terrific,Terrific,Good,Satisfactory,Good,Satisfactory,Good,Terrific,Good,Yes,No,,nothing important to share,Very,Extremely,Very,Very,Extremely,Extremely,Extremely,Very,,9-10 times,1-2 times,6-7 times,3-4 times,9-10 times,6-7 times,7-8 times,4-5 times,3-4 times,4-5 times,0 times,5-6 times,7- Extremely,3,5,3,7- Extremely,4,5,6,5,7- Extremely,N/A (I didn't do it),6,No,,,,,,,,,,,,Completely,Extremely,great topics and well presented,Yes,Yes,,Outline the scale or numbers in the graphs presented. 
(4),(4),(6),(2),Fairly Often,Sometimes,Almost Never,Fairly Often,Slightly Agree,Slightly Agree,Agree,Mixed/ Neither,Slightly Disagree,Agree,Slightly Agree,Mixed/ Neither,Rarely,Sometimes,Sometimes,Often,Yes,4 - Very,4 - Very,3 - Moderately,3 - Moderately,2 - Slightly,5 - Extremely,5 - Extremely,5 - Extremely,2 - Slightly,2 - Slightly,1 - Not at all,4 - Very,4 - Very,4 - Very,2 - Slightly,5 - Extremely,7 - Exceptional,"Week 7: Mental Habits of Happiness,Week 8: Gratitude,Week 3: Kindness & Compassion,Week 6: Mindfulness,Week 9: Finding Your Happiness Fit & New Frontiers,Week 1: Introduction to the Science of Happiness,Week 2: The Power of Social Connection,Week 4: Cooperation & Reconciliation",,,4 hours,,Moderately,,Very much,Moderately,,Moderately,Moderately,Not at all,,Terrific,Terrific,Good,Good,Good,Good,Good,Satisfactory,Good,Terrific,Yes,Yes,,Lack of time and too many posts to be able to read them all,Extremely,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Very,,1-2 times,0 times,0 times,0 times,0 times,1-2 times,0 times,0 times,0 times,0 times,0 times,0 times,4,,,,,1-Not at all,,,,,,,No,,,,,,,,,,,,Completely,Extremely,Objectivity : it shows why we should believe studies and facts but also why it's fair to be somehow skeptical about some practices. It isn't biaised.,Yes,No,,"More videos from the teachers
Talk more in détails about some topics, like new fronteers to happiness"
(5),(3),(5),(4),Sometimes,Fairly Often,Sometimes,Sometimes,Disagree,Agree,Slightly Agree,Slightly Disagree,Agree,Slightly Agree,Mixed/ Neither,Agree,Often,Rarely,Often,Rarely,No or don't remember,,,,,,,,,,,,,,,,,,"Week 7: Mental Habits of Happiness,Week 8: Gratitude,Week 3: Kindness & Compassion,Week 6: Mindfulness,Week 9: Finding Your Happiness Fit & New Frontiers,Week 1: Introduction to the Science of Happiness,Week 2: The Power of Social Connection,Week 4: Cooperation & Reconciliation",,,6 hours,,A Lot,,Very much,Very much,Slightly,Very much,Slightly,Not at all,,Good,Good,Good,Good,Good,Good,Good,Good,Terrific,Good,Yes,No,,LACK OF TIME AND POOR LEVEL OF ENGLISH.,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,,1-2 times,3-4 times,0 times,1-2 times,More than 10 times,1-2 times,3-4 times,1-2 times,1-2 times,1-2 times,1-2 times,1-2 times,5,5,N/A (I didn't do it),4,4,1-Not at all,6,6,N/A (I didn't do it),6,6,6,No,,,,,,,,,,,,Completely,Extremely,,Yes,Yes,MAYBE TOO LONG... TO MANY THINGS TO DO AND TO READ IN VERY LITTLE TIME...,
